,masked,sift,contrast,bright,species,path,vanilla,bbcontent,mixed,family,red,green,blue,average_0,average_1,average_2,diff_cont_red,diff_cont_green,diff_cont_blue,bbox_ratio
0,1,156,44.67805706982175,122.61997291666668,Pandion haliaetus,/content/drive/MyDrive/Animals_masked/Animals_masked/Pandion haliaetus/fdd144a72e5da77cff1537dbc1ce7ac8.jpg,1,1,1,aves,75.5291217294441,11.54698501175541,28.33660295129268,96.90070140482229,142.4506792690548,192.4536512734902,-25.216641303073075,15.383413217667822,86.98877981695014,16.103541666666665
1,0,2784,76.91520000879567,80.27112956810632,Spinus tristis,/content/drive/MyDrive/Animals_masked/Animals_masked/Spinus tristis/e9c56231718b9b11758f5f93fc44365e.jpg,1,1,1,aves,11.764275626591342,0.255391240991301,0.0935538441498238,123.1986966564722,126.486752073975,101.01040663800272,1.081353948576833,-0.5805139774119823,-4.454464818537346,18.77782392026578
2,1,330,96.22340778717977,195.8550046904315,Pachydiplax longipennis,/content/drive/MyDrive/Animals_masked/Animals_masked/Pachydiplax longipennis/c67ae3e186acb3b763032b14fac45620.jpg,1,1,1,insecta,50.93701315954903,12.645696132709872,16.546658239754223,103.19817551711812,109.6497861671559,70.61112470322294,-18.91916719077723,-17.417479884231085,-34.853746753317125,8.251172607879925
3,0,1671,92.8824605825905,46.95500555555556,Canis latrans,/content/drive/MyDrive/Animals_masked/Animals_masked/Canis latrans/0a922be91bac509ef2bc0a44153d2b59.jpg,0,0,0,mammalia,32.3026842294441,5.8137961228665205,10.957969965373977,134.83127696109227,132.24809639010903,141.9986664695199,12.71393425319691,5.180830338722046,36.53379501297982,0.105
4,0,3032,84.73973382639734,85.6382363977486,Trachemys scripta elegans,/content/drive/MyDrive/Animals_masked/Animals_masked/Trachemys scripta elegans/fa1dd0961941a653b22e4c2684075b4e.jpg,1,0,0,reptilia,9.112622915646584,1.5903920474027018,14.203597388763612,136.21646175985126,127.41142151506368,100.4803815056346,14.099119051955896,0.3441554636766852,-4.984489950905456,14.478658536585364
5,0,10671,93.63027183774976,115.169375,Canis latrans,/content/drive/MyDrive/Animals_masked/Animals_masked/Canis latrans/04415ca2cf9f6feb12e39c9aead6ed38.jpg,0,0,1,mammalia,54.34012618722257,31.22022332157792,39.873411284626016,83.29035922689647,94.84367937791384,54.54215990169853,-38.82698348099889,-32.223586673473136,-50.922711554841534,16.061666666666667
6,0,1985,73.4602692591036,40.35585365853659,Chelydra serpentina,/content/drive/MyDrive/Animals_masked/Animals_masked/Chelydra serpentina/aea7917edecf80e8220067527c7a9887.jpg,0,0,0,reptilia,3.879574551520392,6.766266020139511,6.295394168459666,114.67755002046196,117.19332496681685,108.76352640833822,-7.439792687433396,-9.873941084570149,3.298654951798156,15.097326454033771
7,0,11727,97.42851945373135,109.93800416666669,Pachydiplax longipennis,/content/drive/MyDrive/Animals_masked/Animals_masked/Pachydiplax longipennis/9dac071dfb106cc467118d48b4e02ace.jpg,0,0,0,insecta,16.4721845205559,24.573143345088752,10.67935538204064,133.7949604123492,150.2208987880912,94.27028406669824,11.677617704453851,23.153632736704225,-11.194587389841814,1.6520833333333331
8,0,1345,78.23308346321511,48.0249421875,Spinus tristis,/content/drive/MyDrive/Animals_masked/Animals_masked/Spinus tristis/40000755a73d05d5ff3fa12e66582ac7.jpg,1,1,1,aves,6.759709750277423,7.505695949255411,15.479201736207315,143.920213176202,138.89945942142847,125.10925341948963,21.80287046830664,11.832193370041496,19.644381962949566,58.29265624999999
9,0,1577,77.9865875988873,155.77131900630914,Junonia coenia,/content/drive/MyDrive/Animals_masked/Animals_masked/Junonia coenia/c0d0b7b8c9736cbb9c00da085bfbe363.jpg,1,1,1,insecta,38.983697342585344,12.3584083636389,39.29690779397545,153.98318207983627,105.2775666894237,59.50050882862295,31.865839371940908,-21.789699361963287,-45.96436262791712,43.62164826498422
10,0,2756,43.54527733892512,39.20505416666666,Anolis carolinensis,/content/drive/MyDrive/Animals_masked/Animals_masked/Anolis carolinensis/6c5c60f8481a3300600ce715038e1f23.jpg,0,0,0,reptilia,21.681702979444097,17.242951678422074,30.565478298707305,150.03814422840267,140.07410765460403,127.8517829847864,27.92080152050731,13.006841603217056,22.386911528246344,14.648541666666667
11,0,148,81.29161354289897,31.56447916666667,Procyon lotor,/content/drive/MyDrive/Animals_masked/Animals_masked/Procyon lotor/b56b06b2a758d17237010e61068fb3b9.jpg,0,1,0,mammalia,56.21649881277743,29.286901678422097,22.074238715374,143.69074580057668,153.89568786274333,164.04987001099363,21.57340309268132,26.82842181135635,58.58499855445356,11.114375
12,0,7757,94.58389253126364,68.55332172131148,Sciurus carolinensis,/content/drive/MyDrive/Animals_masked/Animals_masked/Sciurus carolinensis/c09ec1111887a0c3230173b4826a1faf.jpg,1,0,1,mammalia,22.36053366673077,26.923569906277365,30.69973563571891,93.65101314036042,95.80926147730648,84.93483299071661,-28.46632956753494,-31.258004574080505,-20.53003846582345,35.65163934426229
13,0,202,72.70049799552648,27.20677063789869,Picoides pubescens,/content/drive/MyDrive/Animals_masked/Animals_masked/Picoides pubescens/d76b24760457ecc539fffa2a9f5e478b.jpg,1,0,1,aves,38.70515381981308,11.672903773481508,12.142614743360229,138.45228058962576,140.54250558151543,150.59303705390465,16.334937881730397,13.475239530128448,45.128165597364585,7.117026266416511
14,0,5165,97.6642607478006,70.8738375,Sciurus carolinensis,/content/drive/MyDrive/Animals_masked/Animals_masked/Sciurus carolinensis/29195c7c66abc18096e08c5511b51489.jpg,0,0,1,mammalia,35.799430353889235,38.24366290491125,42.20346961795934,81.5063354860632,88.12562237492828,74.52285504196783,-40.61100722183217,-38.941643676458696,-30.94201641457224,0.3964583333333333
